"time","(sec)","obs_congestion_control-network_without_cc_offerload_0_1-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_2-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_3-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_4-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_5-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_6-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_7-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_8-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_9-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)",,"obs_congestion_control-network_without_cc_offerload_0_10-DES-1:","Blocked","Traffic","Sink.Traffic","Received","(packets/sec)"
3.95,0,0,80,1200,10440,30140,60320,97080,129760,171240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,1740,9680,32320,59300,95880,131120,172260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.05,0,0,40,1980,8840,31340,60820,95940,133260,172620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,0,0,60,960,9300,30740,62300,95960,134920,177980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.15,0,0,100,1460,10180,30000,60660,95120,132140,174760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2,0,0,80,1380,11040,32060,59480,95380,134320,173100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.25,0,0,100,1520,10880,28900,58940,95520,132820,175900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.3,0,0,40,1120,9820,29200,59380,98520,132440,176240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.35,0,0,0,1700,10260,27780,61160,95900,129820,176060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.4,0,0,60,1300,9440,30120,56920,92300,129380,177960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.45,0,0,120,1040,9940,26480,55660,92220,128620,176160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5,0,0,40,1560,9700,29980,56680,97340,132280,171880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
